Finding warriors in ./warriors/


Running 1 tournament iterations of 50 matches

Tournament 1 
--------------------------------------------------------------------------------
  convergence    Vs.      theves      	Score:  (52, 72)
  convergence    Vs.     bygones      	Score:  (100, 100)
  convergence    Vs.     twotats      	Score:  (100, 100)
  convergence    Vs.     schemer      	Score:  (78, 88)
  convergence    Vs.      shark       	Score:  (100, 100)
  convergence    Vs.      random      	Score:  (77, 72)
  convergence    Vs.   t4t-missile    	Score:  (46, 61)
  convergence    Vs.    handshake     	Score:  (46, 56)
  convergence    Vs.  anti-handshake  	Score:  (51, 56)
  convergence    Vs.      devil       	Score:  (42, 62)
  convergence    Vs.     antit42t     	Score:  (46, 61)
  convergence    Vs.     mistrust     	Score:  (99, 99)
  convergence    Vs.     thieves      	Score:  (54, 69)
  convergence    Vs.      pavlov      	Score:  (100, 100)
  convergence    Vs.     tit4tat      	Score:  (100, 100)
  convergence    Vs.   lisper_55-71   	Score:  (44, 69)
  convergence    Vs.      angel       	Score:  (100, 100)
     theves      Vs.     bygones      	Score:  (66, 56)
     theves      Vs.     twotats      	Score:  (66, 56)
     theves      Vs.     schemer      	Score:  (139, -6)
     theves      Vs.      shark       	Score:  (63, 58)
     theves      Vs.      random      	Score:  (130, 0)
    bygones      Vs.      pavlov      	Score:  (100, 100)
    bygones      Vs.     tit4tat      	Score:  (100, 100)
    bygones      Vs.   lisper_55-71   	Score:  (52, 57)
    bygones      Vs.      angel       	Score:  (100, 100)
    twotats      Vs.     schemer      	Score:  (53, 123)
    twotats      Vs.      shark       	Score:  (100, 100)
    twotats      Vs.      random      	Score:  (41, 116)
    twotats      Vs.   t4t-missile    	Score:  (33, 118)
    twotats      Vs.    handshake     	Score:  (46, 56)
    twotats      Vs.  anti-handshake  	Score:  (87, 102)
    twotats      Vs.      devil       	Score:  (46, 56)
    twotats      Vs.     antit42t     	Score:  (33, 118)
    twotats      Vs.     mistrust     	Score:  (97, 102)
    twotats      Vs.     thieves      	Score:  (56, 66)
    twotats      Vs.      pavlov      	Score:  (100, 100)
    twotats      Vs.     tit4tat      	Score:  (100, 100)
    twotats      Vs.   lisper_55-71   	Score:  (50, 60)
    twotats      Vs.      angel       	Score:  (100, 100)
    schemer      Vs.      shark       	Score:  (76, 86)
    schemer      Vs.      random      	Score:  (56, 96)
    schemer      Vs.   t4t-missile    	Score:  (21, 121)
    schemer      Vs.    handshake     	Score:  (-12, 143)
     random      Vs.    handshake     	Score:  (-6, 134)
     random      Vs.  anti-handshake  	Score:  (67, 72)
     random      Vs.      devil       	Score:  (-16, 149)
     random      Vs.     antit42t     	Score:  (23, 113)
     random      Vs.     mistrust     	Score:  (74, 74)
     random      Vs.     thieves      	Score:  (4, 124)
     random      Vs.      pavlov      	Score:  (79, 74)
     random      Vs.     tit4tat      	Score:  (74, 74)
     random      Vs.   lisper_55-71   	Score:  (30, 90)
     random      Vs.      angel       	Score:  (144, 34)
  t4t-missile    Vs.    handshake     	Score:  (48, 53)
  t4t-missile    Vs.  anti-handshake  	Score:  (57, 47)
  t4t-missile    Vs.      devil       	Score:  (48, 53)
  t4t-missile    Vs.     antit42t     	Score:  (51, 51)
  t4t-missile    Vs.     mistrust     	Score:  (55, 50)
  t4t-missile    Vs.     thieves      	Score:  (54, 49)
  t4t-missile    Vs.      pavlov      	Score:  (126, 1)
  t4t-missile    Vs.     tit4tat      	Score:  (54, 49)
  t4t-missile    Vs.   lisper_55-71   	Score:  (58, 48)
  t4t-missile    Vs.      angel       	Score:  (166, 1)
   handshake     Vs.  anti-handshake  	Score:  (59, 44)
   handshake     Vs.      devil       	Score:  (48, 53)
    antit42t     Vs.     mistrust     	Score:  (55, 50)
    antit42t     Vs.     thieves      	Score:  (54, 49)
    antit42t     Vs.      pavlov      	Score:  (126, 1)
    antit42t     Vs.     tit4tat      	Score:  (54, 49)
    antit42t     Vs.   lisper_55-71   	Score:  (58, 48)
    antit42t     Vs.      angel       	Score:  (166, 1)
    mistrust     Vs.        theves      Vs.   t4t-missile    	Score:  (49, 54)
     theves      Vs.    handshake     	Score:  (48, 53)
     theves      Vs.  anti-handshake  	Score:  (55, 50)
     theves      Vs.      devil       	Score:  (48, 53)
     theves      Vs.     antit42t     	Score:  (49, 54)
     theves      Vs.     mistrust     	Score:  (54, 49)
     theves      Vs.     thieves      	Score:  (99, 99)
     theves      Vs.      pavlov      	Score:  (120, 20)
     theves      Vs.     tit4tat      	Score:  (63, 58)
     theves      Vs.   lisper_55-71   	Score:  (52, 57)
     theves      Vs.      angel       	Score:  (180, -20)
    bygones      Vs.     twotats      	Score:  (100, 100)
    bygones      Vs.     schemer      	Score:  (64, 109)
    bygones      Vs.      shark       	Score:  (100, 100)
    bygones      Vs.      random      	Score:  (56, 106)
    bygones      Vs.   t4t-missile    	Score:  (49, 54)
    bygones      Vs.    handshake     	Score:  (48, 53)
    bygones      Vs.  anti-handshake  	Score:  (91, 96)
    bygones      Vs.      devil       	Score:  (48, 53)
    bygones      Vs.     antit42t     	Score:  (49, 54)
    bygones      Vs.     mistrust     	Score:  (99, 99)
    bygones      Vs.     thieves      	Score:  (56, 66)
    schemer      Vs.  anti-handshake  	Score:  (70, 90)
    schemer      Vs.      devil       	Score:  (-16, 149)
    schemer      Vs.     antit42t     	Score:  (18, 123)
    schemer      Vs.     mistrust     	Score:  (80, 80)
    schemer      Vs.     thieves      	Score:  (-3, 137)
    schemer      Vs.      pavlov      	Score:  (72, 87)
    schemer      Vs.     tit4tat      	Score:  (81, 81)
    schemer      Vs.   lisper_55-71   	Score:  (0, 135)
    schemer      Vs.      angel       	Score:  (140, 40)
     shark       Vs.      random      	Score:  (73, 78)
     shark       Vs.   t4t-missile    	Score:  (49, 54)
     shark       Vs.    handshake     	Score:  (48, 53)
     shark       Vs.  anti-handshake  	Score:  (64, 64)
     shark       Vs.      devil       	Score:  (48, 53)
     shark       Vs.     antit42t     	Score:  (49, 54)
     shark       Vs.     mistrust     	Score:  (99, 99)
     shark       Vs.     thieves      	Score:  (58, 63)
     shark       Vs.      pavlov      	Score:  (100, 100)
     shark       Vs.     tit4tat      	Score:  (100, 100)
     shark       Vs.   lisper_55-71   	Score:  (52, 57)
     shark       Vs.      angel       	Score:  (100, 100)
