Finding warriors in ./warriors/


Running 1 tournament iterations of 50 matches

Tournament 1 
--------------------------------------------------------------------------------
  convergence    Vs.   lisper_35-16   	Score:  (93, 93)
  convergence    Vs.      theves      	Score:  (56, 66)
  convergence    Vs.     bygones      	Score:  (100, 100)
  convergence    Vs.     twotats      	Score:  (100, 100)
  convergence    Vs.     schemer      	Score:  (81, 81)
  convergence    Vs.      shark       	Score:  (100, 100)
  convergence    Vs.      random      	Score:  (70, 80)
  convergence    Vs.   t4t-missile    	Score:  (46, 61)
  convergence    Vs.    handshake     	Score:  (44, 59)
  convergence    Vs.  anti-handshake  	Score:  (50, 60)
  convergence    Vs.      devil       	Score:  (42, 62)
  convergence    Vs.     antit42t     	Score:  (48, 58)
  convergence    Vs.     mistrust     	Score:  (65, 65)
  convergence    Vs.     thieves      	Score:  (52, 72)
  convergence    Vs.      pavlov      	Score:  (100, 100)
  convergence    Vs.     tit4tat      	Score:  (100, 100)
  convergence    Vs.      angel       	Score:  (100, 100)
  lisper_35-16   Vs.      theves      	Score:  (53, 58)
  lisper_35-16   Vs.     bygones      	Score:  (98, 98)
  lisper_35-16   Vs.     twotats      	Score:  (100, 95)
  lisper_35-16   Vs.     schemer      	Score:  (117, 27)
  lisper_35-16   Vs.      shark       	Score:  (98, 98)
     theves      Vs.     thieves      	Score:  (99, 99)
     theves      Vs.      pavlov      	Score:  (120, 20)
     theves      Vs.     tit4tat      	Score:  (63, 58)
     theves      Vs.      angel       	Score:  (180, -20)
    bygones      Vs.     twotats      	Score:  (100, 100)
    bygones      Vs.     schemer      	Score:  (59, 114)
    bygones      Vs.      shark       	Score:  (100, 100)
    bygones      Vs.      random      	Score:  (51, 101)
    bygones      Vs.   t4t-missile    	Score:  (49, 54)
    bygones      Vs.    handshake     	Score:  (48, 53)
    bygones      Vs.  anti-handshake  	Score:  (91, 96)
    bygones      Vs.      devil       	Score:  (48, 53)
    bygones      Vs.     antit42t     	Score:  (49, 54)
    bygones      Vs.     mistrust     	Score:  (99, 99)
    bygones      Vs.     thieves      	Score:  (56, 66)
    bygones      Vs.      pavlov      	Score:  (100, 100)
    bygones      Vs.     tit4tat      	Score:  (100, 100)
    bygones      Vs.      angel       	Score:  (100, 100)
    twotats      Vs.     schemer      	Score:  (47, 132)
    twotats      Vs.      shark       	Score:  (100, 100)
    twotats      Vs.      random      	Score:  (47, 112)
    twotats      Vs.   t4t-missile    	Score:  (33, 118)
     shark       Vs.   t4t-missile    	Score:  (49, 54)
     shark       Vs.    handshake     	Score:  (48, 53)
     shark       Vs.  anti-handshake  	Score:  (64, 64)
     shark       Vs.      devil       	Score:  (48, 53)
     shark       Vs.     antit42t     	Score:  (49, 54)
     shark       Vs.     mistrust     	Score:  (99, 99)
     shark       Vs.     thieves      	Score:  (58, 63)
     shark       Vs.      pavlov      	Score:  (100, 100)
     shark       Vs.     tit4tat      	Score:  (100, 100)
     shark       Vs.      angel       	Score:  (100, 100)
     random      Vs.   t4t-missile    	Score:  (25, 110)
     random      Vs.    handshake     	Score:  (-4, 131)
     random      Vs.  anti-handshake  	Score:  (63, 88)
     random      Vs.      devil       	Score:  (2, 122)
     random      Vs.     antit42t     	Score:  (18, 123)
     random      Vs.     mistrust     	Score:  (77, 77)
     random      Vs.     thieves      	Score:  (-1, 129)
     random      Vs.      pavlov      	Score:  (92, 57)
     random      Vs.     tit4tat      	Score:  (71, 66)
     random      Vs.      angel       	Score:  (162, 7)
  t4t-missile    Vs.    handshake     	Score:  (48, 53)
  t4t-missile    Vs.  anti-handshake  	Score:  (57, 47)
     devil       Vs.     antit42t     	Score:  (53, 48)
     devil       Vs.     mistrust     	Score:  (56, 46)
     devil       Vs.     thieves      	Score:  (53, 48)
     devil       Vs.      pavlov      	Score:  (125, 0)
     devil       Vs.     tit4tat      	Score:  (53, 48)
     devil       Vs.      angel       	Score:  (200, -50)
    antit42t     V  lisper_35-16   Vs.      random      	Score:  (110, 30)
  lisper_35-16   Vs.   t4t-missile    	Score:  (48, 58)
  lisper_35-16   Vs.    handshake     	Score:  (42, 62)
  lisper_35-16   Vs.  anti-handshake  	Score:  (51, 56)
  lisper_35-16   Vs.      devil       	Score:  (42, 62)
  lisper_35-16   Vs.     antit42t     	Score:  (48, 58)
  lisper_35-16   Vs.     mistrust     	Score:  (97, 102)
  lisper_35-16   Vs.     thieves      	Score:  (53, 58)
  lisper_35-16   Vs.      pavlov      	Score:  (101, 96)
  lisper_35-16   Vs.     tit4tat      	Score:  (98, 98)
  lisper_35-16   Vs.      angel       	Score:  (192, -38)
     theves      Vs.     bygones      	Score:  (66, 56)
     theves      Vs.     twotats      	Score:  (66, 56)
     theves      Vs.     schemer      	Score:  (139, -6)
     theves      Vs.      shark       	Score:  (63, 58)
     theves      Vs.      random      	Score:  (108, 18)
     theves      Vs.   t4t-missile    	Score:  (49, 54)
     theves      Vs.    handshake     	Score:  (48, 53)
     theves      Vs.  anti-handshake  	Score:  (55, 50)
     theves      Vs.      devil       	Score:  (48, 53)
     theves      Vs.     antit42t     	Score:  (49, 54)
     theves      Vs.     mistrust     	Score:  (54, 49)
    twotats      Vs.    handshake     	Score:  (46, 56)
    twotats      Vs.  anti-handshake  	Score:  (87, 102)
    twotats      Vs.      devil       	Score:  (46, 56)
    twotats      Vs.     antit42t     	Score:  (33, 118)
    twotats      Vs.     mistrust     	Score:  (97, 102)
    twotats      Vs.     thieves      	Score:  (56, 66)
    twotats      Vs.      pavlov      	Score:  (100, 100)
    twotats      Vs.     tit4tat      	Score:  (100, 100)
    twotats      Vs.      angel       	Score:  (100, 100)
    schemer      Vs.      shark       	Score:  (71, 86)
    schemer      Vs.      random      	Score:  (59, 94)
    schemer      Vs.   t4t-missile    	Score:  (15, 125)
    schemer      Vs.    handshake     	Score:  (-12, 143)
    schemer      Vs.  anti-handshake  	Score:  (71, 86)
    schemer      Vs.      devil       	Score:  (-12, 143)
    schemer      Vs.     antit42t     	Score:  (17, 122)
    schemer      Vs.     mistrust     	Score:  (81, 81)
    schemer      Vs.     thieves      	Score:  (-4, 136)
    schemer      Vs.      pavlov      	Score:  (71, 86)
    schemer      Vs.     tit4tat      	Score:  (84, 79)
    schemer      Vs.      angel       	Score:  (138, 43)
     shark       Vs.      random      	Score:  (71, 66)
  t4t-missile    Vs.      devil       	Score:  (48, 53)
  t4t-missile    Vs.     antit42t     	Score:  (51, 51)
  t4t-missile    Vs.     mistrust     	Score:  (55, 50)
  t4t-missile    Vs.     thieves      	Score:  (54, 49)
  t4t-missile    Vs.      pavlov      	Score:  (126, 1)
  t4t-missile    Vs.     tit4tat      	Score:  (54, 49)
  t4t-missile    Vs.      angel       	Score:  (166, 1)
   handshake     Vs.  anti-handshake  	Score:  (59, 44)
   handshake     Vs.      devil       	Score:  (48, 53)
   handshake     Vs.     antit42t     	Score:  (53, 48)
   handshake     Vs.     mistrust     	Score:  (54, 49)
   handshake     Vs.     thieves      	Score:  (53, 48)
   handshake     Vs.      pavlov      	Score:  (125, 0)
   handshake     Vs.     tit4tat      	Score:  (53, 48)
   handshake     Vs.      angel       	Score:  (200, -50)
 anti-handshake  Vs.      devil       	Score:  (44, 59)
 anti-handshake  Vs.     antit42t     	Score:  (47, 57)
 anti-handshake  Vs.     mistrust     	Score:  (76, 71)
 anti-handshake  Vs.     thieves      	Score:  (50, 55)
 anti-handshake  Vs.      pavlov      	Score:  (73, 63)
 anti-handshake  Vs.     tit4tat      	Score:  (76, 71)
 anti-handshake  Vs.      angel       	Score:  (114, 79)
  lisper_35-16   Vs.   lisper_35-16   	Score:  (99, 99)
     theves      Vs.      theves      	Score:  (99, 99)
    bygones      Vs.     bygones      	Score:  (100, 100)
    twotats      Vs.     twotats      	Score:  (100, 100)
    schemer      Vs.     schemer      	Score:  (78, 83)
     shark       Vs.      shark       	Score:  (100, 100)
     random      Vs.      randos.     mistrust     	Score:  (55, 50)
    antit42t     Vs.     thieves      	Score:  (54, 49)
    antit42t     Vs.      pavlov      	Score:  (126, 1)
    antit42t     Vs.     tit4tat      	Score:  (54, 49)
    antit42t     Vs.      angel       	Score:  (166, 1)
    mistrust     Vs.     thieves      	Score:  (49, 54)
    mistrust     Vs.      pavlov      	Score:  (67, 67)
    mistrust     Vs.     tit4tat      	Score:  (99, 99)
    mistrust     Vs.      angel       	Score:  (102, 97)
    thieves      Vs.      pavlov      	Score:  (120, 20)
    thieves      Vs.     tit4tat      	Score:  (63, 58)
    thieves      Vs.      angel       	Score:  (180, -20)
     pavlov      Vs.     tit4tat      	Score:  (100, 100)
     pavlov      Vs.      angel       	Score:  (100, 100)
    tit4tat      Vs.      angel       	Score:  (100, 100)
  convergence    Vs.   convergence    	Score:  (100, 100)
m      	Score:  (64, 89)
  t4t-missile    Vs.   t4t-missile    	Score:  (51, 51)
   handshake     Vs.    handshake     	Score:  (92, 92)
 anti-handshake  Vs.  anti-handshake  	Score:  (53, 53)
     devil       Vs.      devil       	Score:  (50, 50)
    antit42t     Vs.     antit42t     	Score:  (51, 51)
    mistrust     Vs.     mistrust     	Score:  (99, 99)
    thieves      Vs.     thieves      	Score:  (99, 99)
     pavlov      Vs.      pavlov      	Score:  (100, 100)
    tit4tat      Vs.     tit4tat      	Score:  (100, 100)
     angel       Vs.      angel       	Score:  (100, 100)


angel 750
schemer 1007
random 1082
pavlov 1111
anti-handshake 1226
twotats 1343
t4t-missile 1344
convergence 1347
antit42t 1351
mistrust 1356
devil 1359
handshake 1400
bygones 1404
tit4tat 1423
shark 1428
theves 1430
thieves 1454
lisper_35-16 1540
	Winner is lisper_35-16
-------------------------------------------------------------------------------- 
Final Results:
convergence 0
devil 0
antit42t 0
bygones 0
twotats 0
mistrust 0
random 0
schemer 0
theves 0
tit4tat 0
thieves 0
angel 0
anti-handshake 0
shark 0
handshake 0
pavlov 0
t4t-missile 0
